device_id,num_io,read_count,write_count
44,3376620,1658019,1718601
175,3360378,53119,3307259
734,3337532,17030,3320502
440,3331515,322466,3009049
752,3331086,9573,3321513
457,3324549,873575,2450974
498,3316525,12,3316513
347,3301592,103117,3198475
280,3288408,286544,3001864
355,3268035,1619225,1648810
99,3266588,596534,2670054
108,3249302,1534098,1715204
350,3216270,1022135,2194135
351,3215701,1373068,1842633
342,3197071,187463,3009608
274,3195488,4829,3190659
260,3124835,4373,3120462
407,3095740,478966,2616774
462,3085340,1679,3083661
114,3077203,398364,2678839
180,3032280,456,3031824
722,3029280,225494,2803786
375,3005319,0,3005319
313,2993897,712140,2281757
700,2990682,539,2990143
304,2988966,1080131,1908835
120,2981882,10976,2970906
521,2967886,10,2967876
825,2956275,4549,2951726
431,2940853,6857,2933996
826,2939934,3755,2936179
325,2936360,2,2936358
686,2911591,0,2911591
65,2908522,1207230,1701292
743,2908104,1950723,957381
417,2903713,372593,2531120
368,2892018,897611,1994407
754,2867316,7271,2860045
791,2828828,42023,2786805
477,2817607,1586482,1231125
611,2749541,501034,2248507
337,2748043,0,2748043
702,2726276,522168,2204108
403,2723067,0,2723067
569,2721072,518500,2202572
641,2712096,509043,2203053
309,2710198,510447,2199751
480,2708427,516319,2192108
658,2704747,511951,2192796
624,2703975,507212,2196763
695,2702613,568,2702045
711,2701564,519946,2181618
489,2697378,502198,2195180
595,2695957,503114,2192843
634,2693031,497969,2195062
495,2691126,487652,2203474
561,2690338,503850,2186488
418,2688089,486190,2201899
586,2687932,486357,2201575
453,2687497,0,2687497
493,2684605,497376,2187229
668,2682714,537550,2145164
642,2681474,484995,2196479
101,2680631,133219,2547412
230,2642742,13049,2629693
542,2620512,60,2620452
657,2605505,257,2605248
625,2591020,7322,2583698
738,2589779,1,2589778
416,2587234,62187,2525047
429,2578214,25011,2553203
704,2568448,228283,2340165
763,2558279,670291,1887988
140,2549721,599,2549122
438,2543855,693097,1850758
515,2539211,56870,2482341
683,2530973,0,2530973
474,2520185,0,2520185
616,2498941,167280,2331661
456,2498413,60,2498353
98,2490806,8350,2482456
491,2483655,166762,2316893
510,2482852,166924,2315928
707,2481071,171607,2309464
343,2478970,168903,2310067
655,2475551,274773,2200778
298,2469749,171015,2298734
214,2465816,161795,2304021
199,2464194,157501,2306693
249,2463965,162467,2301498
525,2461424,173455,2287969
601,2457616,173709,2283907
613,2453301,170189,2283112
649,2453007,162963,2290044
479,2448405,476821,1971584
104,2442829,163669,2279160
712,2440929,166455,2274474
229,2437040,169503,2267537
387,2429685,168093,2261592
699,2428660,159934,2268726
588,2424183,176314,2247869
344,2419483,228042,2191441
471,2417442,165375,2252067
591,2417257,168729,2248528
151,2416171,177493,2238678
258,2416127,161053,2255074
233,2414579,173977,2240602
568,2412071,174656,2237415
544,2409764,176660,2233104
761,2409759,29775,2379984
389,2408519,152345,2256174
619,2406137,162531,2243606
643,2400762,172474,2228288
473,2398210,162549,2235661
593,2397160,170664,2226496
531,2396044,162185,2233859
566,2395102,173386,2221716
386,2394672,166263,2228409
508,2392644,158589,2234055
537,2391961,163940,2228021
667,2388515,1171218,1217297
204,2386039,165213,2220826
659,2385180,167363,2217817
506,2382487,159616,2222871
523,2377498,0,2377498
548,2371474,28,2371446
585,2330272,0,2330272
563,2328701,0,2328701
680,2286729,83,2286646
583,2264261,1,2264260
732,2258618,0,2258618
599,2249992,3379,2246613
579,2247710,30,2247680
352,2242241,598476,1643765
409,2232799,11529,2221270
606,2230518,11,2230507
492,2218788,0,2218788
451,2212965,1,2212964
255,2208675,95,2208580
487,2207905,0,2207905
406,2206070,1,2206069
459,2200542,22,2200520
647,2199668,3,2199665
669,2195394,1434723,760671
436,2182779,0,2182779
392,2181210,1,2181209
801,2179308,31383,2147925
308,2176555,711206,1465349
540,2173069,51,2173018
400,2170508,0,2170508
691,2170099,0,2170099
672,2159668,0,2159668
567,2143532,358,2143174
443,2125011,368955,1756056
450,2123162,164,2122998
735,2107293,1497921,609372
536,2094914,83154,2011760
321,2081521,6,2081515
218,2078744,239449,1839295
703,2047342,1413,2045929
468,2007915,0,2007915
594,2004411,8823,1995588
517,1994153,42,1994111
519,1982432,1029,1981403
224,1959184,16925,1942259
469,1950458,154538,1795920
755,1944677,80573,1864104
780,1943614,2332,1941282
320,1935758,6,1935752
53,1931025,189621,1741404
739,1926172,379224,1546948
217,1896809,57,1896752
640,1877684,370543,1507141
723,1869020,432280,1436740
496,1866987,4004,1862983
341,1825177,4728,1820449
550,1797152,587963,1209189
622,1793252,65,1793187
330,1770809,0,1770809
602,1770611,22,1770589
615,1754626,8452,1746174
753,1753108,0,1753108
560,1740222,251620,1488602
183,1728552,5031,1723521
766,1718249,76782,1641467
42,1718036,642639,1075397
518,1698600,544,1698056
371,1691962,2,1691960
235,1678158,4,1678154
486,1677176,2,1677174
554,1672694,510302,1162392
638,1651932,13,1651919
267,1645256,63305,1581951
744,1644094,17,1644077
377,1631574,84839,1546735
706,1631333,59360,1571973
184,1580685,618,1580067
302,1578336,178283,1400053
454,1576522,400141,1176381
794,1564373,9822,1554551
299,1564091,30304,1533787
357,1561870,358116,1203754
216,1541997,14046,1527951
95,1525639,678221,847418
252,1514130,1010819,503311
692,1496776,315951,1180825
574,1492750,11163,1481587
494,1467930,6010,1461920
598,1459987,0,1459987
385,1457963,0,1457963
614,1456457,28286,1428171
367,1447211,760330,686881
390,1442211,224048,1218163
587,1425561,221910,1203651
119,1423585,6084,1417501
410,1423026,226164,1196862
393,1422367,766051,656316
346,1405306,0,1405306
366,1398681,130441,1268240
720,1395305,1,1395304
51,1383460,2531,1380929
774,1382419,3,1382416
383,1379415,5549,1373866
501,1368273,2294,1365979
292,1364442,802,1363640
425,1338996,8587,1330409
284,1333985,1036073,297912
562,1333641,8130,1325511
328,1331312,88,1331224
639,1328733,12639,1316094
381,1299750,37496,1262254
632,1297015,102826,1194189
288,1272441,350539,921902
315,1262048,558,1261490
432,1255872,7527,1248345
270,1251273,24114,1227159
604,1220999,36,1220963
333,1212513,6399,1206114
756,1212334,28,1212306
779,1194660,152302,1042358
772,1187969,72,1187897
747,1176284,4,1176280
713,1162556,57268,1105288
243,1153542,3,1153539
545,1152766,5,1152761
690,1147906,2256,1145650
323,1143778,176012,967766
708,1137738,0,1137738
528,1127063,6,1127057
423,1126913,390,1126523
676,1123865,1,1123864
648,1123660,81,1123579
142,1123248,57,1123191
628,1116905,1,1116904
549,1116823,2,1116821
535,1115095,0,1115095
465,1097380,20,1097360
767,1091045,376459,714586
253,1068448,100200,968248
729,1060572,6517,1054055
478,1058028,10175,1047853
428,1052503,64,1052439
757,1051597,4,1051593
411,1049178,42495,1006683
503,1037612,4537,1033075
612,1036083,3840,1032243
529,1035408,319,1035089
60,1033195,21984,1011211
546,1024779,2522,1022257
84,1024631,22931,1001700
156,1021992,10840,1011152
102,1020214,16687,1003527
149,1017432,13689,1003743
75,1014320,9528,1004792
71,1012695,8470,1004225
50,1011842,7754,1004088
134,1010043,6693,1003350
644,1008250,5998,1002252
781,1008204,89336,918868
715,1007894,0,1007894
678,1006907,6024,1000883
485,1006065,9133,996932
162,999232,6820,992412
769,983688,11920,971768
589,980377,3,980374
301,973618,7265,966353
379,940997,25774,915223
159,938830,7085,931745
152,938024,6767,931257
168,934309,6822,927487
155,933605,7317,926288
637,931926,1578,930348
158,930642,6868,923774
146,928865,7330,921535
413,927597,8335,919262
813,886584,166446,720138
317,851699,1,851698
291,831579,690,830889
698,825738,41925,783813
939,822229,731,821498
559,815611,22847,792764
681,811725,2652,809073
652,808689,239,808450
186,794748,10,794738
705,780077,8,780069
762,776027,16706,759321
600,771381,8383,762998
789,767340,3,767337
185,764345,0,764345
782,724322,0,724322
415,721033,432796,288237
82,720659,104804,615855
776,716811,0,716811
442,669319,72563,596756
551,657090,26,657064
167,645214,320872,324342
