device_id,num_io,read_count,write_count,ts_max,ts_min,duration,avg_offset,avg_size,write_percentage,read_percentage
157,37519541,2350065,35169476,1580486399837225,1577808000128153,2678399709072,16084709580,7835.475192,0.9373642391,0.06263576092
8,37490499,2448105,35042394,1580486399962409,1577808000001157,2678399961252,21783441916,7833.364848,0.9347006558,0.06529934424
78,37419536,1858726,35560810,1580486399846725,1577808000032615,2678399814110,24624471819,7512.242967,0.9503273905,0.04967260952
62,37214794,2091940,35122854,1580486399918004,1.57781E+15,2678399897094,14863260754,7602.690805,0.9437874088,0.05621259115
86,37176561,2894303,34282258,1580486399489295,1577808000045248,2678399444047,14580067448,8003.31085,0.9221471023,0.07785289769
24,37176282,2235528,34940754,1580486399933206,1577808000003896,2678399929310,24863562223,7716.144287,0.9398668215,0.06013317846
23,36946192,19300,36926892,1580486398204203,1577808000003893,2678398200310,64251186845,6540.348856,0.9994776187,0.0005223813052
135,36812678,24492,36788186,1580486399887654,1577808000105507,2678399782147,14774339872,6489.839588,0.9993346857,0.0006653142703
154,36481805,4681269,31800536,1580486399949514,1577808000125735,2678399823779,23222414360,8279.990032,0.8716820892,0.1283179108
48,36311051,1912269,34398782,1580486399979463,1577808000011728,2678399967735,25590313125,7623.497973,0.9473364459,0.05266355413
88,36174092,365318,35808774,1580486399939932,1577808000047925,2678399892007,18467410122,6634.502962,0.9899011149,0.01009888514
87,36032778,1109487,34923291,1580486399773888,1.57781E+15,2678399726068,7650476226,13269.96206,0.9692089519,0.03079104808
19,35895603,1730654,34164949,1580486399853753,1577808000003489,2678399850264,24721190150,7476.676969,0.9517864625,0.04821353746
113,35849172,1853412,33995760,1580486399884744,1577808000077136,2678399807608,25308223730,7576.80578,0.9482997264,0.05170027358
83,35758970,303267,35455703,1.58049E+15,1577808000042466,2678399869304,18184629442,6588.94093,0.9915191349,0.008480865081
192,35611239,23825,35587414,1580486399939272,1577808000195688,2678399743584,25311902147,6379.634819,0.9993309696,0.0006690303586
219,35607447,71210,35536237,1580486397412275,1577808000248082,2678397164193,35493597060,6476.13712,0.9980001374,0.001999862557
236,35574108,198028,35376080,1580486399973901,1577808000300149,2678399673752,26566787085,6477.375092,0.9944333671,0.005566632901
56,35391962,212423,35179539,1580486399902754,1577808000015125,2678399887629,25622137396,6609.599806,0.9939979875,0.006002012547
193,34509267,138523,34370744,1580486399857345,1.57781E+15,2678399660535,22819990840,6443.836239,0.9959859188,0.004014081203
128,34339341,25394,34313947,1580486399829571,1577808000093223,2678399736348,16103482908,6366.128947,0.9992604983,0.0007395016695
435,34043890,66,34043824,1.58049E+15,1577808001168094,2678396257596,16808826380,6177.540891,0.9999980613,0.000001938673871
21,33120813,124,33120689,1580486399213911,1577808000003653,2678399210258,6896682638,16855.71814,0.9999962561,0.000003743869452
651,32140341,57,32140284,1580486397949827,1577808001765453,2678396184374,19790551234,6333.783674,0.9999982265,0.000001773472161
77,30894112,3217432,27676680,1580486399938676,1577808000032176,2678399906500,18855915380,13383.1404,0.8958561424,0.1041438576
311,30239365,1958183,28281182,1580486398783323,1577808000584698,2678398198625,32991398814,6919.246789,0.9352439114,0.06475608863
263,29939903,1702,29938201,1580486398698509,1577808000385855,2678398312654,44428166129,10796.81971,0.9999431528,0.00005684721156
332,28143648,1605569,26538079,1580486399286254,1577808000721153,2678398565101,44032618233,6819.279395,0.942950928,0.05704907196
289,27569263,557731,27011532,1580486399998064,1577808000485333,2678399512731,39780776821,6370.624129,0.9797698255,0.02023017445
234,26456610,9032,26447578,1580486399989545,1577808000293369,2678399696176,41469518893,6309.941458,0.9996586108,0.0003413891651
283,26375480,2479670,23895810,1580486398942616,1577808000465746,2678398476870,27821958683,8833.485598,0.9059857868,0.0940142132
2,25735856,5355746,20380110,1580486399514995,1577808000000494,2678399514501,14168494806,15087.6485,0.7918955561,0.2081044439
522,25569195,27172,25542023,1580486397652664,1.57781E+15,2678396276034,23462464825,5808.36196,0.998937315,0.001062685
137,25464607,2,25464605,1580486399798006,1577808000108434,2678399689572,32544301588,4767.658339,0.9999999215,0.00000007854038352
746,25023536,1082928,23940608,1580486396104594,1577808003661464,2678392443130,260158169721,341529.8152,0.9567236221,0.04327637789
354,24488853,585969,23902884,1580486399619846,1577808000859746,2678398760100,42056856238,8333.462462,0.9760720112,0.02392798879
117,24201003,12299025,11901978,1580486398847953,1577808000080614,2678398767339,19263492554,49945.6976,0.4917968896,0.5082031104
3,23965494,12500178,11465316,1580486396984779,1577808000000553,2678396984226,23555839321,26148.98754,0.478409333,0.521590667
247,23538402,653529,22884873,1580486399885048,1577808000338597,2678399546451,38697322476,7208.069656,0.9722356259,0.02776437415
335,23210358,7727,23202631,1580486398622468,1577808000741227,2678397881241,36085615025,6684.461599,0.9996670883,0.0003329117112
9,22682239,266671,22415568,1580486399998779,1577808000001325,2678399997454,20868440433,13541.59026,0.98824318,0.01175681995
5,22478191,20444,22457747,1580486399690833,1577808000000809,2678399690024,29262666848,6536.253903,0.9990904962,0.0009095037941
1,22462800,16170,22446630,1580486398672122,1577808000000426,2678398671696,21845765625,6497.297961,0.9992801432,0.00071985683
402,22454393,15738,22438655,1580486399700334,1577808001101928,2678398598406,23255057165,6492.205803,0.9992991127,0.0007008873497
163,22450813,21835,22428978,1580486399695304,1577808000132216,2678399563088,26415257531,6491.22505,0.9990274294,0.0009725705702
69,22446129,16902,22429227,1580486399834113,1577808000027439,2678399806674,26586087303,6467.009423,0.9992469971,0.0007530028897
