volume,count
11122,6424875
14105,6423343
19823,6415720
10684,6414717
13141,6412672
6237,6408810
7151,6404352
12823,6399226
11665,6372429
19562,6372286
13662,6368141
6491,6363957
19571,6357519
2252,6346130
10728,6340795
3512,6339586
6631,6325781
12412,6311294
16043,6307008
14234,6306594
10620,6305920
15639,6304524
11775,6301945
10935,6299850
19361,6291442
11589,6286116
11680,6276608
10776,6269442
22806,6261082
15939,6256897
6644,6241362
16752,6228355
9745,6221105
4573,6210774
2157,6208518
4010,6203663
20783,6199402
6731,6185843
17671,6152276
19210,6147738
10742,6142123
12762,6136269
2786,6119554
14867,6118653
6107,6111294
12754,6105214
17570,6091225
11590,6079053
2745,6072420
4487,6071510
5457,6066961
8280,6061429
11200,6053048
8278,6052543
11822,6032762
22358,6031871
20089,6030152
19359,6020307
10252,6018455
20193,6008324
8742,5997511
8546,5992806
15725,5980566
2827,5976830
13212,5975222
21795,5968738
6068,5964323
4503,5959160
7937,5956409
1981,5940762
16864,5937784
23257,5935149
7029,5930995
19846,5925465
17295,5925262
19990,5920770
15705,5906343
14665,5905571
4724,5904205
2846,5898790
11915,5897339
5115,5873586
2568,5871040
13656,5861270
23299,5853022
14072,5851148
4607,5825009
24223,5823107
23491,5819414
7528,5818058
22521,5818027
1604,5815891
7299,5811916
3189,5809166
21812,5804329
5875,5788501
9904,5778995
12466,5774542
4276,5772059
17709,5755608
7894,5751466
4870,5745568
11401,5743341
17972,5736772
2647,5713150
16837,5701621
7057,5685236
2390,5684316
7321,5683091
15701,5681699
11644,5676610
9959,5675130
10664,5673278
8155,5667679
1317,5666695
11321,5662583
5600,5659850
1774,5653129
17060,5651025
18849,5650920
3200,5639709
9634,5635289
4871,5634858
17317,5625937
8061,5616901
10964,5607104
9883,5605332
1434,5603547
16169,5596307
14602,5594574
13155,5593443
1755,5587501
3932,5583673
2294,5572397
9819,5568458
12694,5563260
8256,5549052
5682,5545281
12612,5542053
18027,5535012
1915,5530528
10829,5524750
13699,5519203
1847,5514629
6624,5510923
9790,5506620
14467,5505428
19333,5501681
16692,5493782
4241,5487024
12351,5481855
16095,5477086
18905,5475011
7074,5473386
3324,5472270
5427,5468080
1362,5468027
9272,5462520
7618,5451829
5509,5450255
2347,5449975
22157,5444814
22165,5435342
2087,5434537
22766,5420336
2354,5413105
10244,5408617
10372,5392979
15372,5381949
15581,5380316
13998,5374788
2363,5373101
2145,5368412
18599,5362933
11622,5361032
14195,5358301
14876,5356035
2610,5353701
4083,5340911
22395,5337088
19240,5330215
12287,5324781
13731,5320793
12651,5319189
5756,5315630
8402,5313079
4830,5307161
18820,5301848
8554,5280716
1571,5279149
2737,5275792
11082,5271350
10944,5270560
7544,5266079
